Department,System ID,UPC,Item,Category,Brand,Remaining,Sale Price
Bread,210000001410,73472003817,Food For Life Ezekiel Pocket Bread,Bakery  / Bread,Food For Life/Ezekiel 4:9,3,4.29
Bread,210000001418,73472001233,Food For Life Ezekiel  Sesame Bread,Bakery  / Bread,Food For Life/Ezekiel 4:9,3,7.79
Bread,210000001434,73472001202,Food For Life Ezekiel Sprouted Grain Bread 24oz,Bakery  / Bread,Food For Life/Ezekiel 4:9,5,7.79
Bread,210000001480,28833041304,Alvarado St. Cinnamon Raisin Bagels,Bakery ,Alvarado St.,5,8.69
Bread,210000001484,28833041106,Alvarado St. Onion Poppyseed Bagels,Bakery  / Bread / Frozen,Alvarado St.,8,7.99
Bread,210000001490,73472002001,Food For Life Ezekiel Tortillas Large,Bakery  / Tortillas,Food For Life/Ezekiel 4:9,11,5.19
Bread,210000001494,73472003701,Food For Life Tortillas Sprouted Corn,Bakery  / Tortillas,Food For Life/Ezekiel 4:9,13,5.79
Bread,210000001638,749601092013,Berlin Pizza Crust White Spelt,Bakery ,Berlin Natural Bakery,5,5.39
Bread,210000003656,656902023250,Crumbs Cookie Oatmeal Raisin,Bakery  / Baked treats,Crumbs,1,3.49
Bread,210000008984,58449590583,Nature's Path Waffles Buckwheat  Wildberry Org GF,Pantry / Grain products,Natures Path,11,4.59
Bread,210000009220,656902003313,Crumbs Crackers Garlic Spelt,Pantry / Grain products / Crackers,Crumbs,4,6.99
Bread,210000009574,656902003320,Crumbs Crackers Rye,Pantry / Grain products / Crackers,Crumbs,4,6.99
Bread,210000009578,656902003306,Crumbs Crackers Spelt,Pantry / Grain products / Crackers,Crumbs,2,6.99
Bread,210000010106,656902023359,Crumbs Cookie Peanut Butter Chocolate Chip,Bakery  / Baked treats,Crumbs,1,3.49
Bread,210000022828,73472003695,Food For Life Tortillas Brown Rice GF,Bakery  / Tortillas,Food For Life/Ezekiel 4:9,3,4.69
Bread,210000023340,74677842188,Wholly Wholesome Pie & Pastry Dough 2,Bakery  / Bread / Frozen,Wholly Wholesome,4,7.39
Bread,210000023490,620133000458,Kinnikinnick Bread GF Multigrain,Bakery  / Gluten Free,Kinnikinnick,2,5.39
Bread,210000024060,665596013027,Immaculate Crescent Rolls,Refrigerated,Immaculate Baking,11,7.99
Bread,210000028884,892453001075,Against The Grain GF Pizza Crust,Bakery  / Gluten Free,Against The Grain Gourmet,4,6.99
Bread,210000029102,656902023106,Crumbs Cookie Chocolate Chip,Bakery  / Baked treats,Crumbs,1,3.49
Bread,210000032009,74677842201,Wholly Wholesome Pie Shells / Crusts 2 GF,Frozen,Wholly Wholesome,2,8.79
Bread,210000033609,73472001530,Food For Life Ezekiel Bread Sprouted LS,Bakery  / Bread,Food For Life/Ezekiel 4:9,1,7.79
Bread,210000035469,73472001905,Food For Life GF  Sprouted Bread Original 3 Seed,Bakery  / Bread,Food For Life/Ezekiel 4:9,2,12.79
Bread,210000036841,656902003504,Crumbs Cracker Black Pepper,Pantry / Grain products / Crackers,Crumbs,5,6.99
Bread,210000036845,656902003405,Crumbs Crackers Rosemary,Pantry / Grain products / Crackers,Crumbs,2,6.99
Bread,210000036957,892453001143,Against The Grain GF Pita Bread Lebanese,Bakery  / Gluten Free,Against The Grain Gourmet,3,6.79
Bread,210000040925,13764027138,Dave's Killer Bread 21 Whole Grains & Seeds Thin-Sliced,Bakery  / Bread,Dave's Killer Bread,1,4.99
Bread,210000042270,13764028029,Dave's Killer Bread Cinnamon Raisin Remix Bagels,Bakery  / Bread,Dave's Killer Bread,1,6.29
Bread,210000042274,13764028012,Dave's Killer Bread Plain Awesome Bagels,Bakery  / Bread,Dave's Killer Bread,1,6.29
Bread,210000043137,862871000301,Caulipower Cauliflower Pizza Crust 12 oz.,Vegetables / Frozen,Caulipower,2,8.99
Bread,210000043466,74677842584,Wholly Wholesome Pizza Dough Ball GF,Frozen,Wholly Wholesome,2,7.99
Bread,210000043526,855930001593,Aleias Stuffing Mix GF,Pantry / Grain products,Aleia's,9,7.29
Bread,210000044153,857287004128,Flax4Life Muffin Wild Blueberry GF Single,Bakery  / Baked treats,Flax4Life,4,2.39
Bread,210000048145,859553004399,Cappello's Naked Pizza Crust GF,Pantry / Grain products / Flour/mixes,Cappello's,2,8.89
Bread,210000049037,852537005412,Base Culture Bread Keto,Pantry / Grain products / Flour/mixes,Base Culture,10,10.79
Bread,210000051178,28833041007,Alvarado St. Sprouted Wheat Bagels,Bakery ,Alvarado St.,1,7.99
Bread,210000051263,853584002348,Canyon Gluten Free Bagels,Bakery  / Gluten Free,Canyon Bakehouse,2,7.89
Bread,210000051265,853584002386,Canyon Gluten Free Burger Buns,Bakery  / Gluten Free,Canyon Bakehouse,2,7.89
Bread,210000051459,853584002287,Canyon gluten free country White,Bakery  / Gluten Free,Canyon Bakehouse,1,7.89
Bread,210000053189,65776631520,Flax4Life Muffin Chocolate Chip GF 4 pack,Bakery  / Baked treats,Flax4Life,2,8.89
Bread,210000053349,28833041700,Alvarado St. Sprouted Wheat Everything Bagels,Bakery ,Alvarado St.,6,8.69
Bread,210000058016,81980312413,Beequa Bakes English Muffins 4pack,Bakery  / Bread,Beequa Bakes,6,6
Bread,210000058017,81980112419,Beequa Bakes Foccaccia Rosemary (quarter),Bakery  / Bread,Beequa Bakes,3,5
Bread,210000058144,74677432587,Wholly Wholesome Pizza Crust GF 3 Pack,Frozen,Wholly Wholesome,2,7.49
Bread,210000059972,81980122425,Beequa Bakes Puffed Einkorn Maple Cinnamon,Bakery  / Bread,Beequa Bakes,2,3
Bread,210000060104,831011000082,deland black forest bread,Bakery  / Bread,Deland Bakery,1,4.99
Bread,210000060105,831011100003,deland organic14 grain bread,Bakery  / Bread,Deland Bakery,1,4.99
Bread,210000060109,857287004708,Flax4Life Mini Muffins Chocolate Chip GF Box  7oz,Bakery  / Baked treats,Flax4Life,5,2.99
Bread,210000060141,81980122418,Beequa Puffed Einkorn Honey Vanilla,Pantry / Grain products / Cereal,Beequa Bakes,5,5
Bread,210000060315,81980162421,Beequa Bakes Banana Bread Mini,Bakery  / Bread,Beequa Bakes,3,4
Bread,210000060497,857287004692,Flax4Life Muffins Carrot Raisin GF Mini,Bakery  / Baked treats,Flax4Life,5,2.99
Bread,210000060764,664164101982,Ozery  Snacking Rounds Muesli,Bakery ,Ozery Bakery Inc.,3,4.59
Bread,210000060978,877977000094,Mid-Day Squares Bar Brownie Batter,Pantry / Snack Bars,Mid-Day Squares,10,2.69
Bread,210000060980,877977000209,Mid-Day Squares Bar Cookie Dough,Pantry / Snack Bars,Mid-Day Squares,16,2.69
Bread,210000061246,13764027190,Dave's Killer Bread Power Seed 20.5oz,Bakery  / Bread,Dave's Killer Bread,1,4.99
Bread,210000061260,,Beequa Bakes,Bakery  / Bread,Beequa Bakes,8,4
Bread,210000061271,81980262411,Beequa Blueberry Scones,,,2,4
Bread,210000061281,,Ash Creek Farm Country Sourdough,,,1,7.39
Bread,210000061283,,Ash Creek Farm Multigrain Sourdough,,,2,7.99
Bread,210000061287,,Ash Creek Farm Sourdough muffins,,,1,7.99
Produce,210000032195,855597004104,Whipple Eggs,Meat / Eggs,Whipple,16,4.99
Produce,210000042111,,Eggs Meadowhawk,Meat / Eggs,Meadowhawk,7,5.99
Produce,210000052449,688099431006,Tierra Verde Eggs,Meat / Eggs,Tierra Verde,23,6.99
Produce,210000060342,22906000649,Bauman Cider 1/2 Gallon,Fruit / Fruit juice,,1,5.99
Coffee,210000032195,855597004104,Whipple Eggs,Meat / Eggs,Whipple,16,4.99
Coffee,210000042111,,Eggs Meadowhawk,Meat / Eggs,Meadowhawk,7,5.99
Coffee,210000052449,688099431006,Tierra Verde Eggs,Meat / Eggs,Tierra Verde,23,6.99
Coffee,210000060342,22906000649,Bauman Cider 1/2 Gallon,Fruit / Fruit juice,,1,5.99
Bulk,210000054395,70619211440384,Penne Rigate Villa Maria,Pantry / Grain products / Pasta,,1,1.59
Packaged,210000054395,70619211440384,Penne Rigate Villa Maria,Pantry / Grain products / Pasta,,1,1.59
Bulk,210000036405,733739059789,psyllium husk 24 oz,Supplements,Now Foods,1,22.99
Bulk,210000042080,854936003396,moringa leaf powder 300gr,Herbs/spices,Bio Nutrition,1,22.99
Bulk,210000045255,665231861167,black seed whole seed 16oz amazing herbs,Herbs/spices,Amazing Herbs,1,25.99
Bulk,210000045289,892392002003,cordyceps powder OG 100gm,Herbs/spices,Om,2,25.99
Bulk,210000045961,892392002027,reishi powder OG 100gm,Herbs/spices,Om,1,26.99
Bulk,210000045963,892392002041,turkey tail powder OG 100gm,Herbs/spices,Om,1,25.99
Bulk,210000048129,767963013781,Starwest Botanicals Irish Moss/ Sea Moss C/S Org 1lb.,Pantry / Seaweed,Maine Coast Sea Vegetables,1,36.79
Bulk,210000048131,767963111760,Starwest Botanicals Irish Moss/ Sea Moss Powder Org 4oz,Pantry / Seaweed,Starwest Botanicals,1,11.99
Bulk,210000050780,892392002096,lion's mane powder OG 100gm,Herbs/spices,Om,1,25.99
Bulk,210000051770,89836660329,Cream of Tartar .8 oz Mini Frontier,Herbs/spices,Frontier,1,2.89
Bulk,210000052339,818423029979,irish moss powder 8oz bareorganics,Pantry / Seaweed,Bareorganics,1,29.99
Bulk,210000053719,767963134844,Starwest Botanicals Icelandic Moss C/S Org 4oz,Pantry / Seaweed,Starwest Botanicals,3,13.99
Bulk,210000054099,767963134653,chicory root raw organic 4oz,Herbs/spices,Starwest Botanicals,1,8.89
Bulk,210000055197,826998031518,pumpkin pie spice .35oz box,Herbs/spices,Spicely,2,2.99
Bulk,210000056625,767963013804,Starwest Botanicals Irish Moss/ Sea Moss powder Org 1lb.,Pantry / Seaweed,Maine Coast Sea Vegetables,1,34.99
Bulk,210000058627,838451000047,maca OG 1.1 lbs maca magic,Herbs/spices,Maca Magic,1,29.99
Bulk,210000059197,826998040435,saffron OG,Herbs/spices,Spicely,4,8.99
Bulk,210000059920,,lion's mane extract powder OG 1 pound,Herbs/spices,MycoLogical,2,43.99
Bulk,210000060589,733739059680,psyllium husk whole OG 12oz NOW FOODS,Herbs/spices,Now Foods,2,16.99
Bulk,210000060931,815369016568,curry powder shaker OG cadia,Herbs/spices,Cadia,3,3.69
Magaz,210000028502,,KNFC Coop Tote Bag,Apparel / Totes,,6,12
Magaz,210000029196,9781942775430,We'moon Cards 6 count 2023 & 2024,Home goods,We'Moon,7,13.95
Magaz,210000034379,9780738764023,Llewellyn's Witches' Calendar 2023,Home goods,Llewellyn's,1,14.99
Magaz,210000041457,,Debra-Lynn Hook greeting card,Home goods,Debra-Lynn Hook,66,3.5
Magaz,210000043591,,Sandy Smith aprons,Apparel,Sandy Smith,5,22.5
Magaz,210000050346,,Worthy CBD Massage Oil,Personal Care / Cosmetics,,1,13.99
Magaz,210000050471,,Hemp Mountain Muse Drawstring Bag Small,Apparel / Totes,none,1,2
Magaz,210000050586,,Boss Himalayan Salt Foot Scrub,Personal Care / Cosmetics,,4,10.19
Magaz,210000053620,,Soft & Scented Whipped Body Butter (Unscented),Personal Care / Skin care,Soft & Scented,3,22.99
Magaz,210000053622,,Soft & Scented Shea Butter (Cinnamon),Personal Care / Skin care,Soft & Scented,3,24.99
Magaz,210000055386,,KNFC Post Card,Home goods,,14,0
Magaz,210000056772,,Soft & Scented Whipped Body Butter (Lavender & Sage)),Personal Care / Skin care,Soft & Scented,2,24.99
Magaz,210000059924,9781942775379,We'moon Tarot,Home goods,We'Moon,2,45
Magaz,210000060929,,Sandy Smith aprons EGG,Apparel,Sandy Smith,1,24
Magaz,210000061198,,Botanical Blessings Apothecary Whipped Tallow Balm 2oz,Personal Care,Botanical Blessings Apothecary,5,20
Magaz,210000061200,,Botanical Blessings Apothecary Tallow Soap Bar,Personal Care,Botanical Blessings Apothecary,4,6
Bulk,210000000700,787436002555,Native Scents Smudge White Sage,Home goods / Incense/aroma,Native Scents,6,11.49
Bulk,210000000872,788832000084,GladRags Night Pad 1 Color,Personal Care / Feminine,GladRags,3,16.59
Bulk,210000000884,788832000022,GladRags Day Pad 3 Colors,Personal Care / Feminine,GladRags,3,31.99
Bulk,210000000900,782126009005,Natracare Tampons W/App Super 16 ct.,Personal Care / Feminine,Natracare,2,8.89
Bulk,210000000908,782126008008,Natracare Tampons Regular W/App 16pc,Personal Care / Feminine,Natracare,6,7.29
Bulk,210000000924,782126003058,Natracare Ultra Pads Regular & Wings 14ct,Personal Care / Feminine,Natracare,3,6.69
Bulk,210000000936,738041111002,Lumiram Chromalux Full Spectrum Lamp light Bulb 100,Home goods,Lumiram,7,9.19
Bulk,210000000940,770009010484,"If You Care Large Baking Cups 2 1/2""",Home goods,If You Care,23,2.79
Bulk,210000000948,770009120114,If You Care Aluminum Foil 50 sq. ft.,Home goods / Disposable ,If You Care,4,7.39
Bulk,210000000956,706173100096,Natural Value Cellulose Sponges Kitchen,Cleaning,Natural Value,18,2.99
Bulk,210000001012,26603347120,Flower Valley Reusable Cotton Tea Bag 3 ct.,Home goods / Kitchen gadgets,Flower Valley,5,2.79
Bulk,210000001032,830568000491,Mate Factor Yerba Mate Bombilla,Home goods,The Mate Factor,3,8.29
Bulk,210000001060,53796103745,RSVP Honey Spoon,Home goods / Kitchen gadgets,Frontier,3,4.79
Bulk,210000001092,53796401599,Charcoal Filters 2 ct. Compost,Home goods,Frontier,1,9.99
Bulk,210000001132,724773911027,Tea Infuser/strainer Scissor (box),Home goods / Kitchen gadgets,Frontier,4,3.19
Bulk,210000001136,781723406804,Tea Infuser Spoon Heart Scissor,Home goods / Kitchen gadgets,Frontier,2,3.79
Bulk,210000001140,30734041628,WOODEN HONEY DIPPER,Home goods / Kitchen gadgets,Frontier,1,2.99
Bulk,210000001148,770009001116,"If You Care Coffee Filters 8"" Basket",Home goods / Disposable ,If You Care,9,4.29
Bulk,210000001156,831128000609,BioBag Dog Waste Bags,Home goods / Disposable ,Biobag,8,6.59
Bulk,210000001218,706173020417,"Natural Value Paper Plates 9""",Home goods,Natural Value,3,4.19
Bulk,210000001230,18787766316,Dr. Bronner's Sal Suds 16 oz.,Cleaning,Dr. Bronner's Magic Soaps,1,10.99
Bulk,210000001792,637226002091,Prasad Wooden Incense Burner Ashcatcher,Home goods / Incense/aroma,Prasad Gifts,4,1.99
Bulk,210000001796,637226111144,Prasad Celestial Champa Incense,Home goods / Incense/aroma,Prasad Gifts,11,1.99
Bulk,210000001800,637226111212,Prasad Celestial Myrrh Incense,Home goods / Incense/aroma,Prasad Gifts,7,1.99
Bulk,210000001804,637226111151,Prasad Celestial Frankincense Incense,Home goods / Incense/aroma,Prasad Gifts,10,1.99
Bulk,210000001808,637226111175,Prasad Celestial Jasmine Incense,Home goods / Incense/aroma,Prasad Gifts,10,1.99
Bulk,210000001812,637226111328,Prasad Celestial Lavender Incense,Home goods / Incense/aroma,Prasad Gifts,9,1.99
Bulk,210000001816,637226111229,Prasad Celestial Musk Incense,Home goods / Incense/aroma,Prasad Gifts,9,1.99
Bulk,210000001824,637226111267,Prasad Celestial Rose Incense,Home goods / Incense/aroma,Prasad Gifts,7,1.99
Bulk,210000001828,637226111250,Prasad Celestial Patchouli Incense,Home goods / Incense/aroma,Prasad Gifts,9,1.99
Bulk,210000001832,637226111274,Prasad Celestial Sandalwood Incense,Home goods / Incense/aroma,Prasad Gifts,9,1.99
Bulk,210000001840,637226111304,Prasad Celestial Ylang Ylang Incense,Home goods / Incense/aroma,Prasad Gifts,8,1.99
Bulk,210000001856,32110120019,Shoyeido Great Origin Incense,Home goods / Incense/aroma,Shoyeido Corp.,8,2.89
Bulk,210000001864,32110123010,Shoyeido Moss Garden Incense,Home goods / Incense/aroma,Shoyeido Corp.,14,3.79
Bulk,210000001868,32110124017,Shoyeido Kyoto Autumn Leaves Incense,Home goods / Incense/aroma,Shoyeido Corp.,13,3.19
Bulk,210000001876,32110126011,Shoyeido Kyoto Cherry Blossom Incense,Home goods / Incense/aroma,Shoyeido Corp.,24,4.69
Bulk,210000001916,11013100212,Citrasolv Cleaner 8 oz,Cleaning,Citrasolv,2,13.69
Bulk,210000001920,11013100199,Citrasolv Concentrated 32oz,Cleaning,Citrasolv,1,32.59
Bulk,210000001932,18787766323,Dr. Bronner's Sal Suds 32oz,Cleaning,Dr. Bronner's Magic Soaps,3,16.79
Bulk,210000001944,749174097002,Ecos Dishmate Liquid Dish soap Almond 25oz,Cleaning / Kitchen,ECOS,5,5.29
Bulk,210000001960,732913221509,Seventh Generation Auto Dish Detergent Powdered 45oz Pwdrd. Fr & Clr,Cleaning / Kitchen,Seventh Generation,1,8.29
