System ID,UPC,Item,Vendor #,Retail,Category,Brand,Needed,Reorder Point,Desired Level,QOH,Backorders
210000000321,75502386679,mineral water sparkling 25.3oz gerolsteiner,,$3.39 ,Beverages  / Bottled water,Gerolsteiner,13,6,15,2,0
210000000760,602444001409,Wyndmere Carrot Seed 10mL 16,,$19.89 ,Essential oil,Wyndmere Naturals,2,2,3,1,0
210000003470,733739033406,prostate support 90 sgels NOW FOODS,,$24.99 ,Supplements,Now Foods,2,0,2,0,0
210000003472,733739014108,boron 100cps 3mg NOW FOODS,,$8.99 ,Supplements / Minerals,Now Foods,1,1,2,1,0
210000003512,33984017115,magnesium citrate 120tbs solgar,1711,$17.99 ,Supplements / Minerals,Solgar,2,1,2,0,0
210000003520,33984012493,iron 25 mg 90vcps solgar,1249,$13.49 ,Supplements / Minerals,Solgar,2,1,2,0,0
210000003556,33984022607,potassium 100 Tabs solgar,2260,$11.99 ,Supplements / Minerals,Solgar,1,1,2,1,0
210000003604,684088232364,silver dropper 10ppm 2oz,61CS10,$14.99 ,Supplements / Minerals,Natural Immunogenics,3,0,3,0,0
210000003874,76314302017,Emergen-C box C raspberry,,$17.99 ,Supplements,Alacer Corp,2,1,3,1,0
210000004002,33984027060,L-Theanine 150mg 60vcps solgar,,$33.99 ,Supplements,Solgar,2,1,2,0,0
210000004264,33984003118,biotin 1000mcg 100 vcps solgar,311,$13.49 ,Supplements / Vitamin B,Solgar,3,1,3,0,0
210000004272,33984031104,B 6 100mg 100vcps,3110,$11.99 ,Supplements / Vitamin B,Solgar,3,1,3,0,0
210000004378,741273013976,rescue remedy spray 7ml,BA0118,$18.99 ,Supplements,Bach,3,1,3,0,0
210000004632,308078250908,B&T Arniflora Gel 1oz,TF0029,$8.95 ,Personal Care,B & T,3,2,4,1,0
210000004652,308078252971,B & T Triflora Gel 2.75oz,,$17.99 ,Personal Care,B & T,2,1,3,1,0
210000004660,308078254920,B & T Sports Gel 2.5oz,,$14.99 ,Personal Care,B & T,2,1,3,1,0
210000004666,741273013952,rescue remedy spray 20ml,,$27.99 ,Supplements,Bach,2,1,3,1,0
210000004730,354973292147,nux vomica 30x 250tbs,,$9.99 ,Supplements / Homeopathic,Hyland's,1,1,2,1,0
210000005084,33674160008,red clover 500mg 100cps,,$5.50 ,Supplements / Herbal capsules,Nature's Way,2,1,2,0,0
210000005092,33674151501,nettle 435mg 100cps,NW0191,$11.99 ,Supplements / Herbal capsules,Nature's Way,1,1,2,1,0
210000005220,33674171004,slippery elm bark 370mg 100cps,,$11.99 ,Supplements / Herbal capsules,Nature's Way,2,1,2,0,0
210000005310,33984008007,zinc chelated 100tbs solgar,800,$5.00 ,Supplements / Minerals,Solgar,1,1,2,1,0
210000006062,870434005519,ready clean tropical fuit 1 pint,,$24.99 ,Supplements,Detoxify,3,1,4,1,0
210000006066,870434007711,ready clean grape 1 pint,,$24.99 ,Supplements,Detoxify,3,1,4,1,0
210000006268,33674106006,black walnut 100cps,NW0020,$13.99 ,Supplements / Herbal capsules,Nature's Way,1,1,2,1,0
210000006272,354973325722,Calms Forte Sleep Aid 100 tbs,,$11.99 ,Supplements / Homeopathic,Hyland's,3,1,3,0,0
210000006850,97467044609,papaya enzyme 180tbs nature's plus,4460,$9.49 ,Supplements,Nature's Plus,2,1,3,1,0
210000007596,32917000545,chamomile lavender 16 tea bags,TD0179,$5.99 ,Tea / Tea boxed,Traditional Medicinals,5,3,6,1,0
210000007622,27018099314,sweet & spicy OG caffeine free 18bags,GE0046,$5.39 ,Tea / Tea boxed,Good Earth,6,2,6,0,0
210000007664,26395830329,aloe vera inner fillet juice pf 32oz glass lily of the desert,,$10.29 ,Beverages  / Aloe,Lily of the Desert,5,3,6,1,0
210000007704,33674154502,pau d arco 100cps,,$9.99 ,Supplements / Herbal capsules,Nature's Way,2,1,2,0,0
210000007856,26664338617,MSM 1000mg   180cps,,$17.99 ,Supplements / Joint,Food Science,1,1,2,1,0
210000007985,8274000061,ginger brew original 12oz  bottle single reed's,,$2.19 ,Beverages  / Soda,Reeds,20,4,24,4,0
